time,Gli2,Hif1a,Rel,Aanat,Clock,Per1,Per2,Tef-1,Fos,Nfkb1,Arid3A,Atf1,Bach1,E2F6,Egr1,Stat3,Hdac1,Mafk,Mxi1,Phf8,Polr2A,Rcor1,Srebf1,Zmiz1
44,4.83359306,96.27180815,2.600123994,158.991404,19.21488017,6.965169867,4.58983801,19.34634655,24.8879666,23.51800093,2.905497379,22.92077395,1.840199197,27.66735799,5.12915462,41.05412579,51.89011769,7.101503642,41.52525973,15.36055163,41.12176844,13.94784475,47.67407546,43.72222355
45,4.912634047,130.2589025,1.839000629,380.2672414,20.46383918,8.511986989,1.909316294,20.55925319,34.1412955,21.80850705,3.412562371,22.79019862,2.00003543,24.99826412,9.848900756,43.21245938,56.67964625,7.118382286,28.42405668,18.16230142,53.53308505,15.72263542,56.61424232,52.95196891
46,3.926626457,101.9871182,1.827175588,210.9710104,19.15658491,5.391499218,2.050556729,15.27840072,25.05970168,23.12711108,3.213069788,22.43865302,1.887156705,26.23906751,6.931446049,42.39218609,57.2202534,6.877813589,29.82340059,14.83751873,44.52144662,13.86516781,37.67648421,45.83793119
47,4.09527684,119.0993381,2.227329484,73.96618082,20.38769786,6.784252649,2.946779532,26.28696835,13.44563827,25.9379642,4.043082701,27.5811484,2.468700222,22.51434712,10.60454913,38.52823404,52.29291348,7.789065873,27.56285482,15.30790066,32.92601843,16.80565097,33.13388528,31.63267435
48,3.753955075,142.2367872,1.794504892,18.05553113,22.98715233,7.041451561,1.817733581,29.04762809,13.13571773,19.32696755,3.684482441,24.05332118,1.719716082,22.71475066,5.605473064,30.81041468,50.22891892,4.317376204,28.52002744,18.48624881,41.238694,15.88941357,34.70079399,32.95544827
49,4.029699988,125.6332815,2.0370711,279.0406082,19.92455138,6.029091761,2.340625375,21.73794065,22.76549741,21.92486462,3.477685819,21.66952489,1.704736405,23.31000456,7.704872286,40.43349475,54.25626978,5.072824056,29.01250106,19.35619517,47.53547094,15.62208209,41.11602894,53.00896685
50,2.499211521,68.39986657,0.668580216,85.25120222,8.082729504,7.452795271,0.989054772,23.27798345,18.94941745,16.35940503,3.406621394,19.1503943,0.437562205,20.86495003,6.511358973,26.11635178,56.29101705,5.120304944,18.85724523,7.923741712,19.11131209,13.76946289,31.84160389,25.30084166
51,0.657381412,34.13022015,0.886629252,57.54711535,4.837966132,4.450055988,0.713603078,23.2465969,2.779977321,6.254362352,0.74394206,13.29139315,0.03223709,11.05750945,11.21615905,18.23249871,49.07240499,3.823623568,18.32882098,3.785201496,15.34309743,9.603512694,18.87210855,14.72409793
52,2.592656256,80.97690083,1.307211288,68.77167793,9.637612644,7.600163235,1.040253562,20.43463584,18.15287872,18.73275028,3.248058436,21.48595106,0.470538062,17.50340701,8.032876013,28.94817627,65.95954034,5.860952238,22.38366376,7.522113352,18.16806893,13.94822258,41.44080846,25.81446781
53,3.357059174,129.6592726,1.031642074,62.36804881,14.73367574,5.745782919,1.110986959,27.61728989,17.32243978,18.01830455,3.169277525,26.14366998,1.069024556,26.39805104,3.759615737,29.90498737,52.62344059,4.551272868,25.34398361,12.1796385,22.60906411,19.08835074,33.39558371,27.5016144
54,3.333116314,96.19334025,2.120312387,27.59902012,13.06695084,7.902279432,1.381126346,19.26671633,22.19517592,23.22353376,3.923480291,23.40247065,1.40101276,22.54976535,4.673128897,33.41304242,63.77003821,6.748802942,25.34763756,13.47659378,30.05696091,14.12411958,40.99791606,24.19175363
